Código   Descrição                                  Quant. Venda Un.      Custo     Compra        C.M.V Margem % Mkp            Venda
024513   ABACATE AGRANEL KG                        267,418      8,39    1.346,60    1.346,60    1.346,60     40,01    66,68    2.244,54
025049   ABACAXI PECA                              986,000      4,91    3.674,41    3.674,41    3.674,41     24,05    31,67    4.837,92
072665   ABACAXI PROMOCAO PECA                       9,000      0,99       31,50       31,50       31,50   -253,54   -71,71        8,91
024541   ABOBORA CABOTIA AGRANEL KG              1.474,745      1,66    1.746,97    1.746,97    1.746,96     28,46    39,79    2.442,07
063614   ABOBORA CABOTIA EMBALADO KG               502,739      2,46      601,59      601,59      601,59     51,29   105,32    1.235,17
024660   ABOBORA GOIANINHA AGRANEL KG               26,735      3,55       50,76       50,76       50,76     46,55    87,09       94,96
063615   ABOBORA GOIANINHA EMBALADO KG              12,256      3,87       23,29       23,29       23,29     50,96   103,92       47,49
030460   ABOBORA MORANGA AGRANEL KG                 29,320      3,33       55,98       55,98       55,98     42,63    74,30       97,58
063616   ABOBORA MORANGA EMBALADO KG                20,989      3,94       41,05       41,05       41,05     50,33   101,32       82,64
024579   ABOBRINHA AGRANEL KG                      600,987      2,96    1.161,84    1.161,84    1.161,84     34,64    52,99    1.777,49
083147   ABOBRINHA AGRANEL PROMOCAO KG               7,859      1,49       19,72       19,72       19,72    -68,39   -40,61       11,71
072698   ABOBRINHA BANDEIJA KG                      39,656      3,35       72,31       72,31       72,31     45,54    83,62      132,77
081332   ACAIZINHO ACAI FOOD C/ BANANA E GUARANA    49,000      2,99       60,03       81,68       81,68     44,25    79,36      146,51
081330   ACAIZINHO ACAI FOOD TRAD BANAN/GUAR PA      2,000     34,99       29,40       40,01       40,01     42,83    74,92       69,98
081333   ACAIZINHO ACAI FOOD ZERO ACUCAR 70ML       10,000      3,49       14,70       20,00       20,00     42,69    74,50       34,90
082575   ACTIVIA LIQ LF AMEIXA 800G                  7,000     21,49       83,60       93,94       93,94     37,55    60,13      150,43
082576   ACTIVIA LIQ LF AVEIA 800G                   1,000     21,49       11,94       13,42       13,42     37,55    60,13       21,49
082578   ACTIVIA LIQ LF MORANGO 800G                 3,000     21,66       35,83       40,26       40,26     38,03    61,38       64,97
082579   ACTIVIA LIQ LF VITAMINA FRUTAS 800G         2,000     20,24       23,89       26,84       26,84     33,70    50,82       40,48
082573   ACTIVIA LIQ LF ZERO AMEIXA 800G             1,000     23,99       13,31       14,95       14,95     37,68    60,47       23,99
082574   ACTIVIA LIQ LF ZERO MORANGO 800G            4,000     24,49       52,62       59,80       59,80     38,95    63,81       97,96
051616   AGUA DE COCO MAIS COCO 1L                  61,000     12,75      411,20      548,39      548,39     29,48    41,80      777,59
058537   AGUA DE COCO MAIS COCO 200ML               16,000      4,59       35,15       43,14       43,14     41,26    70,25       73,44
080603   AGUA DE COCO REFRESH 180ML                  6,000      2,29        5,69        7,74        7,74     43,67    77,52       13,74
017398   AGUA DE COCO SOCOCO 200ML                   5,000      4,99       11,73       15,95       15,95     36,07    56,43       24,95
078243   AGUA DE COCO VITCOCO 1LT                   25,000     11,99      149,18      202,94      202,94     32,30    47,70      299,75
013874   AGUA MIN ACQUA LIA S/GAS GL 5L UN          35,000      9,99      252,13      252,13      252,13     27,89    38,68      349,65
072684   AGUA MIN C/GAS PETROPOLITANA 510ML        196,000      2,83      353,98      353,98      353,98     36,29    56,97      555,64
008288   AGUA MIN CRISTAL C/GAS 500ML            1.066,000      2,07    1.535,04    1.535,04    1.535,04     30,30    43,47    2.202,34
008286   AGUA MIN CRISTAL S/GAS 500ML              352,000      1,94      418,88      418,88      418,88     38,55    62,73      681,65
008290   AGUA MIN CRYSTAL C/GAS 1,5LT              246,000      3,10      541,20      541,20      541,20     29,12    41,08      763,54
