Code,Description,Unit_Cost,Unit_Price,Unit_Profit,Predicted_Amount_Sold,Margin%,Total_Cost,Total_Sale,Total_Profit,Month,Year
228,Packed Orange Kg,3.37,2.39,-0.98,23.22,-40.74,78.25,55.6,-22.65,4,2025
231,Coriander Folhage,4.0,6.5,2.5,1281.44,38.47,5125.77,8330.53,3204.75,4,2025
232,Chicoria Foliage,2.0,3.52,1.52,27.23,43.16,54.47,95.83,41.36,4,2025
233,Vegetable Foliage,2.0,3.5,1.5,102.64,42.86,205.29,359.27,153.98,4,2025
236,Rabanese Foliage,2.5,4.5,2.0,17.28,44.44,43.21,77.77,34.56,4,2025
237,Rule Foliage,2.5,4.5,2.0,145.35,44.45,363.37,654.13,290.76,4,2025
280,Nugget Black Folder 36G,6.11,11.01,4.9,16.78,44.52,102.5,184.75,82.25,4,2025
281,Nugget Brown Folder 36G,7.0,12.1,5.1,3.5,42.15,24.52,42.39,17.87,4,2025
327,100Ml Traditional Peroba Oil,5.04,8.82,3.78,6.16,42.87,31.07,54.38,23.31,4,2025
536,Creoline 50Ml,9.85,13.6,3.75,2.2,27.59,21.71,29.99,8.27,4,2025
891,Detergent Clean Crystal 500Ml,1.24,2.2,0.96,154.24,43.57,191.26,338.94,147.67,4,2025
900,Sapolio Radium Powder Lime 300G,2.97,5.87,2.9,5.36,49.37,15.93,31.46,15.53,4,2025
902,Detergent Limpol Lemon 500Ml,1.34,2.19,0.85,181.76,38.91,243.56,398.69,155.13,4,2025
903,Detergent Limpol Neutral 500Ml,1.24,2.19,0.95,143.3,43.48,177.7,314.4,136.7,4,2025
904,Detergent Limpol Apple 500Ml,1.25,2.2,0.95,123.94,43.14,154.92,272.46,117.54,4,2025
905,Detergent Limpol Coconut 500Ml,1.31,2.2,0.89,206.78,40.49,270.88,455.19,184.31,4,2025
1032,Desinf Pinho Sol Lemon 500Ml,5.13,8.75,3.62,4.57,41.38,23.44,39.99,16.55,4,2025
1152,Mult-Use Veja Floral 500Ml,2.58,3.67,1.09,62.07,29.66,160.14,227.66,67.52,4,2025
1153,Mult-Use Veja Original 500Ml,2.46,3.96,1.5,96.34,37.87,236.99,381.44,144.45,4,2025
1161,Veja Deseng 500 Ml,10.18,14.52,4.34,2.83,29.91,28.84,41.14,12.31,4,2025
1197,Nugget Liquido Colorless 60Ml,9.8,13.55,3.75,1.63,27.69,15.99,22.11,6.12,4,2025
1198,Nugget Liquido White 60Ml,8.78,12.48,3.7,2.0,29.66,17.59,25.0,7.42,4,2025
1216,Espiral Insecticide Detefonc/10,3.03,5.67,2.64,33.1,46.54,100.3,187.62,87.32,4,2025
1391,Melao Sapo Skin In Bulk Kg,2.65,4.98,2.33,112.66,46.84,298.54,561.58,263.04,4,2025
1395,Sponge Ponjita 3M Anatomica Facial Gra,4.63,9.03,4.4,10.43,48.73,48.29,94.19,45.9,4,2025
1409,Bath Sponte Inf Kids Ponjita Monst,5.72,10.5,4.78,1.22,45.5,6.97,12.79,5.82,4,2025
