Code,Description,Unit_Cost,Unit_Price,Unit_Profit,Amount_Sold,Margin%,Total_Cost,Total_Sale,Total_Profit,Month,Year
46131,Beef Burger Bov W/ Friboi Cheese 120G,2.08,4.49,2.41,27.0,42.74,56.08,121.23,65.15,7,2024
24513,Avocado In Bulk Kg,5.77,9.15,3.38,223.86,36.95,1291.09,2047.76,756.67,7,2024
25049,Pineapple Unit,3.22,4.29,1.07,1098.0,24.81,3540.17,4708.5,1168.33,7,2024
72665,Pineapple Offer,2.5,0.99,-1.51,22.0,-152.53,55.0,21.78,-33.22,7,2024
68161,Pumpkin Baiana In Bulk Kg,1.42,2.46,1.04,244.12,42.22,346.5,599.74,253.24,7,2024
68162,Pumpkin Baiana Packed Kg,1.42,2.86,1.44,71.5,50.38,101.32,204.19,102.87,7,2024
24541,Pumpkin Cabotia In Bulk Kg,1.67,2.55,0.88,1108.93,34.76,1847.96,2832.38,984.42,7,2024
63614,Pumpkin Cabotia Packed Kg,1.66,3.37,1.71,795.91,50.65,1324.25,2683.47,1359.22,7,2024
24660,Goianinha In Bulk Kg,1.97,3.59,1.62,2.91,45.25,5.72,10.45,4.73,7,2024
30460,Pumpkin Moranga In Bulk Kg,1.72,2.99,1.27,14.32,42.49,24.62,42.81,18.19,7,2024
24579,Zucchini In Bulk Kg,1.95,2.85,0.9,530.39,31.65,1034.43,1513.48,479.05,7,2024
72698,Kg,1.4,2.79,1.39,0.15,51.65,0.21,0.43,0.22,7,2024
75220,Activia Liquido Lf Plum 750G + 50G,9.55,17.99,8.44,7.0,40.36,66.85,125.93,59.08,7,2024
75221,Activia Liquido Lf Oats 750G + 50G,9.55,17.99,8.44,5.0,40.36,47.75,89.95,42.2,7,2024
75222,Activia Liquido Lf Strawberry 750G + 50G,8.69,17.99,9.3,4.0,40.36,34.76,71.96,37.2,7,2024
75218,Activia Liquido Lf Zero Plum 750G + 50G,11.44,20.99,9.55,1.0,38.78,11.44,20.99,9.55,7,2024
19640,Coconut Ducoco 200Ml Water,1.64,2.99,1.35,45.0,32.11,73.8,134.55,60.75,7,2024
15879,Coconut Water Kero Coconut 1Lt,7.31,13.69,6.38,1.0,29.09,7.31,13.69,6.38,7,2024
51616,Coconut Water More Coconut 1L,6.53,13.73,7.2,23.0,39.57,150.26,315.77,165.51,7,2024
58537,200Ml Coconut Water Water,1.48,3.49,2.01,11.0,47.42,16.3,38.39,22.09,7,2024
80602,Coconut Water Refresh 1L,3.13,5.99,2.86,3.0,29.0,9.38,17.97,8.59,7,2024
14800,Coconut Water Sococo 1L,7.69,12.99,5.3,7.0,26.75,53.8,90.93,37.13,7,2024
17398,Coconut Water Sococo 200Ml,2.1,3.49,1.39,5.0,25.64,10.48,17.45,6.97,7,2024
78243,Vitcoco Coconut Water 1Lt,5.96,10.49,4.53,41.0,24.48,244.29,430.09,185.8,7,2024
13874,Water Min Acqua Lia S/Gas Gl 5L Un,7.16,10.0,2.84,68.0,28.32,487.2,679.72,192.52,7,2024
72684,Min C/Gas Petropolitan 510Ml,1.66,2.47,0.81,125.0,32.9,207.38,309.05,101.67,7,2024
8288,Min Crystal Water With Gas 500Ml,1.44,2.13,0.69,577.0,32.42,830.88,1229.43,398.55,7,2024
8286,Water Min Crystal S/Gas 500Ml,1.19,1.87,0.68,330.0,36.25,392.7,616.03,223.33,7,2024
8290,Crystal Min Crystal Water 1.5Lt,2.18,3.11,0.93,305.0,29.97,665.21,949.95,284.74,7,2024
8289,Water Min Crystal S/Gas 1.5Lt,1.93,2.94,1.01,207.0,34.44,399.1,608.73,209.63,7,2024
71532,Water Lebrinha Premium S/Gas 350Ml,1.25,1.99,0.74,3.0,37.19,3.75,5.97,2.22,7,2024
73578,Water Min Lebrinha S/ Gas 497Ml,1.1,1.59,0.49,1.0,30.82,1.1,1.59,0.49,7,2024
72685,Water Min S/Gas Petropolitana 510Ml,1.57,1.89,0.32,1.0,17.2,1.57,1.89,0.32,7,2024
