Code,Description,Unit_Cost,Unit_Price,Amount_Sold,Margin%,MKP%,Total_Cost,Total_Sale
024513,Avocado In Bulk Kg,5.04,8.39,267.42,40.01,66.68,1346.6,2244.54
025049,Pineapple Unit,3.73,4.91,986.0,24.05,31.67,3674.41,4837.92
072665,Pineapple Offer,3.5,0.99,9.0,-253.54,-71.71,31.5,8.91
024541,Pumpkin Cabotia In Bulk Kg,1.18,1.66,1474.74,28.46,39.79,1746.97,2442.07
063614,Pumpkin Cabotia Packed Kg,1.2,2.46,502.74,51.29,105.32,601.59,1235.17
024660,Goianinha In Bulk Kg,1.9,3.55,26.74,46.55,87.09,50.76,94.96
063615,Pumpkin Goianinha Packed Kg,1.9,3.87,12.26,50.96,103.92,23.29,47.49
030460,Pumpkin Moranga In Bulk Kg,1.91,3.33,29.32,42.63,74.3,55.98,97.58
063616,Pumpkin Paddled Padded Kg,1.96,3.94,20.99,50.33,101.32,41.05,82.64
024579,Zucchini In Bulk Kg,1.93,2.96,600.99,34.64,52.99,1161.84,1777.49
083147,Zucchini In Bulk Promocao Kg,2.51,1.49,7.86,-68.39,-40.61,19.72,11.71
072698,Kg,1.82,3.35,39.66,45.54,83.62,72.31,132.77
081332,Acaizinho Acai Food W/ Banana And Guarana,1.23,2.99,49.0,44.25,79.36,60.03,146.51
081330,Acaizinho Acai Food Trad Banan/Guar Pa,14.7,34.99,2.0,42.83,74.92,29.4,69.98
081333,Acaizo Acai Food Zero Cudar 70Ml,1.47,3.49,10.0,42.69,74.5,14.7,34.9
082575,Activia Liquido Lf Plum 800G,11.94,21.49,7.0,37.55,60.13,83.6,150.43
082576,Activia Liquido Lf Oats 800G,11.94,21.49,1.0,37.55,60.13,11.94,21.49
082578,Activia Liquido Lf Strawberry 800G,11.94,21.66,3.0,38.03,61.38,35.83,64.97
082579,Activia Liquido Lf Vitamin Fruits 800G,11.95,20.24,2.0,33.7,50.82,23.89,40.48
082573,Activia Liquido Lf Zero Plum 800G,13.31,23.99,1.0,37.68,60.47,13.31,23.99
082574,Activia Liquido Lf Zero Strawberry 800G,13.15,24.49,4.0,38.95,63.81,52.62,97.96
051616,Coconut Water More Coconut 1L,6.74,12.75,61.0,29.48,41.8,411.2,777.59
058537,200Ml Coconut Water Water,2.2,4.59,16.0,41.26,70.25,35.15,73.44
080603,Coconut Water Refresh 180Ml,0.95,2.29,6.0,43.67,77.52,5.69,13.74
017398,Coconut Agua Sococo 200Ml,2.35,4.99,5.0,36.07,56.43,11.73,24.95
078243,Vitcoco Coconut Water 1Lt,5.97,11.99,25.0,32.3,47.7,149.18,299.75
013874,Water Min Acqua Lia S/Gas Gl 5L Un,7.2,9.99,35.0,27.89,38.68,252.13,349.65
072684,Min C/Gas Petropolitan 510Ml,1.81,2.83,196.0,36.29,56.97,353.98,555.64
008288,Min Crystal Water With Gas 500Ml,1.44,2.07,1066.0,30.3,43.47,1535.04,2202.34
008286,Water Min Crystal S/Gas 500Ml,1.19,1.94,352.0,38.55,62.73,418.88,681.65
008290,Crystal Min Crystal Water 1.5Lt,2.2,3.1,246.0,29.12,41.08,541.2,763.54
008289,Water Min Crystal S/Gas 1.5Lt,1.95,2.91,198.0,33.03,49.32,386.3,576.82
071531,Water Lebrinha Premium W/Gas 350Ml,1.55,2.49,10.0,37.75,60.65,15.5,24.9
072640,Water Lebrinha Premium W/Gas 500Ml,1.44,2.39,11.0,39.75,65.97,15.84,26.29
071532,Water Lebrinha Premium S/Gas 350Ml,1.28,1.84,8.0,30.43,43.75,10.24,14.72
072685,Water Min S/Gas Petropolitana 510Ml,1.41,1.99,11.0,29.1,41.03,15.52,21.89
068517,Crystal Mineral Water S/Gas 6Lt,7.72,9.99,5.0,22.7,29.37,38.61,49.95
069268,Goya Mineral Water 1.5Lt,2.29,3.16,50.0,27.54,38.01,114.46,157.96
077467,Goya Mineral Water With Gas 500Ml,1.54,2.06,17.0,25.17,33.63,26.21,35.03
081255,Mineral Water Lebrinha S/ Gas 1.5Lt,2.45,3.81,15.0,35.7,55.51,36.75,57.15
032078,Native Mineral Water Delivery 20Lt Region,12.71,18.58,116.0,31.58,46.15,1474.4,2154.82
065898,Long Mineral Water Distance 20L Distance,12.8,19.21,7.0,33.38,50.11,89.6,134.5
032070,Native Mineral Water Ordinance,12.7,18.06,132.0,29.66,42.18,1676.8,2384.0
069164,Water To Pass Roup Baby Tropical Aroma,7.54,12.89,2.0,33.51,50.41,15.08,25.78
007879,Sheet Water Proeish 1L,1.49,2.99,181.0,43.58,77.24,269.87,541.19
018814,Water Sheet Proeish 2L,2.57,4.75,658.0,37.86,60.92,1689.74,3123.58
061373,5Lt Sheeting Water,6.85,12.99,117.0,40.34,67.61,801.68,1519.83
004400,Water Sanitria Qboa 1Lt,2.61,4.99,220.0,39.96,66.57,573.74,1097.8
004401,Water Sanitia Qboa 2Lt,4.98,9.14,208.0,38.31,62.09,1036.51,1900.34
031379,Water Sanitia Qboa 5Lt,11.25,19.99,73.0,36.36,57.12,820.98,1459.06
021064,Ype 1Lt Sanitary Water,2.59,4.82,190.0,39.23,64.55,491.72,915.1
038838,Ype Bomb 5Lt Sanitary Water,10.28,19.99,20.0,41.82,71.88,205.64,399.8
026366,Ype Water Ype Cloro Active 2Lt,4.66,9.0,143.0,41.45,70.78,665.93,1286.43
078619,Agua Tonica Antarctica Zero Lt 269Ml,1.85,2.59,63.0,28.32,39.52,116.74,162.87
002578,Agua Tonica Antarctica 350Ml,2.8,3.86,132.0,27.49,37.92,369.1,509.06
002579,Agua Tonica Antarctica Diet 350Ml,2.91,3.8,57.0,23.33,30.42,165.87,216.33
066061,Agua Tonica Anarctica Lt 269Ml,1.91,2.51,32.0,23.73,31.12,61.15,80.18
052504,Water Tonica Schwepppes Quinino 350Ml,2.94,4.26,3.0,30.93,44.78,8.82,12.77
071729,Water Tonica Schwepppes,2.96,4.18,7.0,29.08,41.0,20.73,29.23
018333,Alcohol Gel Crystal Start 500G,4.17,7.99,10.0,47.82,91.65,41.69,79.9
027959,Alcohol Gel Start Lav 500G,4.6,7.99,4.0,42.43,73.7,18.4,31.96
080365,Alcohol Liquido Pure House (46) 1Lt,3.83,8.57,26.0,46.31,86.24,99.45,222.74
080366,Alcohol Liquido Pure House (46) 500Ml,2.52,5.49,15.0,45.08,82.09,37.84,82.35
006005,Alcohol Liquido Sol (46) 1Lt,4.21,8.5,75.0,42.41,73.64,316.0,637.75
067096,Alcohol Liquido Sol (46) 500Ml,2.55,5.49,52.0,45.43,83.25,132.5,285.57
046469,Alcohol Start Gel Acend Fire 500G,4.38,9.99,2.0,47.22,89.46,8.75,19.98
024724,Garlic A Bulk Kg,19.26,32.88,764.91,34.2,51.96,14728.84,25149.05
016448,Packed Garlic Kg,19.73,43.44,26.62,48.97,95.97,525.22,1156.47
076161,Alim W/Amend Courier Breeze Oats 1Lt,9.99,17.59,5.0,36.88,58.42,49.96,87.95
059616,Alim W/Amend Dash Breeze Baun 1Lt,7.26,13.59,5.0,40.84,69.03,36.28,67.95
064300,Alim W/Amend Basy Breeze Orig Zero A,9.89,15.99,2.0,38.879999999999995,31.98,19.79,31.98
014066,Soy Food Grape Ades 1Lt,5.67,10.99,2.0,38.879999999999995,21.98,11.33,21.98
061621,Alv Vanish Karpex 500Ml,11.1,19.99,2.0,38.879999999999995,39.98,22.2,39.98
024341,Alv Vanish Pink Multipurpose 1.5Lt,17.11,36.99,2.0,38.879999999999995,73.98,34.23,73.98
020633,Alv Vanish Ref Multipurpose 500Ml,5.55,11.99,16.0,38.879999999999995,191.84,88.8,191.84
024342,Alv Vanish White 1.5Lt,18.01,36.99,3.0,38.879999999999995,110.97,54.03,110.97
019565,Alvej Vanish 500Ml Multipurpose,6.92,14.99,6.0,38.879999999999995,89.94,41.53,89.94
017340,Alvej Vanish Oxi Action Multi Power 450G,16.9,32.99,3.0,38.879999999999995,98.97,50.7,98.97
022890,Alvej Vanish Ref White 500Ml,5.55,11.99,13.0,38.879999999999995,155.87,72.09,155.87
021833,Alvej Vanish Takes Crystal White Spots,18.17,32.99,5.0,38.879999999999995,164.95,90.84,164.95000000000002
014838,Alvej Vanish White 500Ml,7.11,14.99,11.0,38.879999999999995,164.89,78.16,164.89000000000001
012294,Bresh Cloro Vd Flo 2Lt,6.92,10.99,4.0,38.879999999999995,43.96,27.66,43.96
007058,Bresh Choro Vida Fl 1Lt,3.31,5.49,8.0,38.879999999999995,43.92,26.52,43.92
052607,Bresh Star S/Chloro 1Lt,4.48,7.99,20.0,38.879999999999995,159.8,89.68,159.8
052608,Bresh Star S/Chloro 2Lt,7.67,13.49,24.0,38.879999999999995,323.76,184.09,323.76
013079,Bresh S/Cl Start Tuff 2Lt,10.48,16.99,3.0,38.879999999999995,50.97,31.43,50.97
019641,Brise Start Without Chloo 1Lt,5.43,8.99,9.0,38.879999999999995,80.91,48.87,80.91
027369,Bresh Ype Flower Prim 1Lt,2.81,6.49,6.0,38.879999999999995,38.94,16.87,38.94
026459,Bleach Ype Florre Prim 2Lt,4.83,9.99,5.0,38.879999999999995,49.95,24.15,49.95
074288,Baby Soft Concentrated Red 500Ml Softener,5.53,12.49,1.0,38.879999999999995,12.49,5.53,12.49
014789,Baby Soft Dreams 2L Softener,5.78,10.99,2.0,38.879999999999995,21.98,11.55,21.98
014791,Baby Soft Softener 2L,5.81,10.99,7.0,38.879999999999995,76.93,40.69,76.93
074906,Baby Soft Soft Infinity Care Marsla,5.72,10.99,5.0,38.879999999999995,54.95,28.6,54.95
029062,Baby Soft S Softener 2Lt,5.72,10.99,5.0,38.879999999999995,54.95,28.6,54.95
014788,Baby Soft Soft Trad.2L,5.5,10.99,5.0,38.879999999999995,54.95,27.51,54.95
069767,Softener Comfort Brisa Flower 1.8Lt,12.14,25.99,1.0,38.879999999999995,25.99,12.14,25.99
070462,Softener Comfort Concur Brisa El Lv 500,6.09,12.24,4.0,38.879999999999995,48.96,24.36,48.96
062213,Softener Comfort Concentrated Cuid Essential 1,12.39,27.09,10.0,38.879999999999995,270.91,123.87,270.9
062216,Softener Comfort Concentrated Deluxe Glamor,14.8,26.99,1.0,38.879999999999995,26.99,14.8,26.99
064039,Softener Comfort Concentrated Essential Sach 9,10.28,18.32,3.0,38.879999999999995,54.97,30.83,54.96
064624,Softener Comfort Concentrated Fiber Prot 500M,5.42,11.99,8.0,38.879999999999995,95.92,43.33,95.92
083221,Softener Comfort Concentrated Lav Rx 500Ml,6.45,12.99,1.0,38.879999999999995,12.99,6.45,12.99
022131,Softener Comfort Concentrated Orig 500Ml,6.45,13.08,13.0,38.879999999999995,170.09,83.9,170.04
050565,Softener Comfort Concentrated Orig400Lv500,5.84,12.03,7.0,38.879999999999995,84.24,40.86,84.21
043561,Softener Comfort Concentrated Pur/Cuid 500Ml,5.32,12.26,11.0,38.879999999999995,134.89,58.55,134.85999999999999
052153,Softener Comfort Concentrated Pur/Cuid Lv500 P,6.27,11.99,3.0,38.879999999999995,35.97,18.8,35.97
062215,Softener Comfort Concentrated Sports 1Lt,14.7,26.99,1.0,38.879999999999995,26.99,14.7,26.99
067109,Pure Care Comfort Softener 1.8Lt,10.44,22.99,3.0,38.879999999999995,68.97,31.31,68.97
068026,Softener Comfort Trad 1.8Lt,12.06,24.99,4.0,38.879999999999995,99.96,48.23,99.96
080327,Softener Concentrated Aromasil Mrsa Casa Carin,4.42,9.99,1.0,38.879999999999995,9.99,4.42,9.99
080329,Softener Concentrated Aromasil Mrsa Casa Inspi,4.42,9.99,5.0,38.879999999999995,49.95,22.09,49.95
075644,Softener Concentrated Ype Delicate Sup Refill 9,7.51,15.99,4.0,38.879999999999995,63.96,30.05,63.96
075642,Softener Concentrated Ype Pink Sup Refill 900Ml,7.51,16.43,9.0,38.879999999999995,147.91,67.62,147.87
066913,Softener Downy Concentrated Adoravel 450Ml,6.85,13.2,9.0,38.879999999999995,118.81,61.62,118.8
074120,Softener Downy Concentrated Adoravel 900Ml,12.75,23.24,8.0,38.879999999999995,185.92,101.97,185.92
071988,Softener Downy Concentrated Agua Fresc 1Lt,12.62,21.99,9.0,38.879999999999995,197.91,113.56,197.91
064982,Softener Downy Concentrated Water Fresh 500Ml,6.95,12.92,10.0,38.879999999999995,129.2,69.51,129.2
074421,Softener Downy Concentrated Breeze De Verao 1,18.34,35.99,1.0,38.879999999999995,35.99,18.34,35.99
075092,Softener Downy Concentrated Brea De Verao Sc,12.87,26.99,4.0,38.879999999999995,107.96,51.49,107.96
070411,Softener Downy Concrete Intense 50,6.83,12.9,54.0,38.879999999999995,696.76,368.84,696.6
081378,Softener Downy Conca Intense Sa,9.15,15.99,7.0,38.879999999999995,111.93,64.07,111.93
070596,Softener Downy Conca Intense+Pe,12.73,22.14,115.0,38.879999999999995,2545.85,1463.7,2546.1
078825,Softener Downy Conca Soft 500Ml,5.93,14.99,2.0,38.879999999999995,29.98,11.86,29.98
080058,Softener Downy Concentrated Brisa L500,6.26,12.95,22.0,38.879999999999995,284.99,137.61,284.9
082099,Softener Downy Concur Brisa Prom 1,11.83,22.44,45.0,38.879999999999995,1009.89,532.32,1009.8000000000001
027681,Softener Downy Concreo Verao 500M,7.53,13.25,54.0,38.879999999999995,715.49,406.74,715.5
082098,Softener Downy Concentrated Brisa Verao Prom,11.42,22.19,103.0,38.879999999999995,2285.97,1176.32,2285.57
081379,Softener Downy Concentrated Brisa Verao Sach 7,9.03,15.99,7.0,38.879999999999995,111.93,63.21,111.93
043612,Softener Downy Concentrated Fresc/Prim 500Ml,7.13,13.41,16.0,38.879999999999995,214.54,114.04,214.56
068259,Softener Downy Concentrated Fresh Freshness,12.62,22.99,2.0,38.879999999999995,45.98,25.23,45.98
027679,Softener Downy Concentrated Lirio Camp 500Ml,6.81,12.85,14.0,38.879999999999995,179.96,95.33,179.9
061661,Softener Downy Concentrated Lyiros Do Campo1L,12.82,22.15,28.0,38.879999999999995,620.22,358.97,620.1999999999999
066915,Softener Downy Concentrated Mistico 450Ml,7.01,13.65,12.0,38.879999999999995,163.78,84.07,163.8
067319,Softener Downy Concentrated Mistico 900Ml,12.56,22.32,6.0,38.879999999999995,133.94,75.38,133.92000000000002
066914,Softener Downy Concixao 450Ml,7.09,13.2,9.0,38.879999999999995,118.81,63.82,118.8
067320,Softener Downy Concixao 900Ml,12.67,22.19,15.0,38.879999999999995,332.85,190.07,332.85
066260,Softener Downy Concentrated Sens Hippoalerg 4,6.83,13.02,7.0,38.879999999999995,91.13,47.79,91.14
076456,Flom Antifrizz 500Ml Softener,4.3,8.49,7.0,38.879999999999995,59.43,30.08,59.43
076454,Softener Flom Color Protect 500Ml,4.3,8.49,6.0,38.879999999999995,50.94,25.78,50.94
061098,Softener Inf Vida Soft Glic/Almonds 5,3.34,7.49,12.0,38.879999999999995,89.88,40.03,89.88
068471,Softener Inf Vida Soft Glic/Chamomile 5,3.21,7.49,2.0,41.66,71.4,6.43,14.98
068805,Softener Inf Vida Soft Gli/ Almonds 1,5.93,11.99,6.0,36.2,56.73,35.57,71.94
080208,Softener Inf Vida Soft Gli/ Camc,5.63,12.04,19.0,36.33,57.06,107.02,228.67
081358,Softener Inf Vida Soft Glic/Fennel 1,5.82,11.99,4.0,34.02,51.56,23.26,47.96
081357,Softener Inf Vida Soft Glic/Fennel 5,3.19,7.49,7.0,42.04,72.52,22.34,52.43
082269,Softener Inf Vida Soft Glic/Lav 1L,5.94,11.99,8.0,32.62,48.4,47.52,95.92
082268,Softener Inf Vida Soft Glic/Lavender 5,3.21,7.49,6.0,41.66,71.4,19.28,44.94
069968,More Shaiting Qbom Sheet 2L,3.01,5.73,56.0,31.61,46.21,168.32,320.72
070604,Amaciante Mais Qbom Carinho 2L,3.16,5.81,44.0,32.56,48.27,139.17,255.54
070605,More Qbom Child From 2L,3.03,5.76,53.0,32.04,47.14,160.57,305.47
031598,Most Qbom Natural Softener 2L,3.02,5.78,58.0,32.27,47.64,174.96,335.42
069967,More Qbom Softener Tenderness 2L,3.05,5.69,299.0,31.15,45.25,911.66,1701.15
070606,More Softener Qbom Tenderness 5L,7.35,16.43,45.0,39.15,64.34,330.8,739.55
079856,Softener Mon Bijou + Care Bco 1.7Lt,5.71,9.99,17.0,36.99,58.71,97.12,169.83
