Code,Description,Amount_Sold,Unit_Price,Total_Cost,Buying,COGS,Margin%,MKP%,Total_Sale,text_en
024513,ABACATE AGRANEL KG,267.418,8.39,1346.6,1346.6,1346.6,40.01,66.68,2244.54,Avocado Agranel Kg
025049,ABACAXI PECA,986.0,4.91,3674.41,3674.41,3674.41,24.05,31.67,4837.92,Pineapple sin
072665,ABACAXI PROMOCAO PECA,9.0,0.99,31.5,31.5,31.5,-253.54,-71.71,8.91,Pineapple Promocation
024541,ABOBORA CABOTIA AGRANEL KG,1474.745,1.66,1746.97,1746.97,1746.96,28.46,39.79,2442.07,Pumpkin cabotia agranel kg
063614,ABOBORA CABOTIA EMBALADO KG,502.739,2.46,601.59,601.59,601.59,51.29,105.32,1235.17,Pumpkin cabotia packed kg
024660,ABOBORA GOIANINHA AGRANEL KG,26.735,3.55,50.76,50.76,50.76,46.55,87.09,94.96,Goianinha Agranel Kg
063615,ABOBORA GOIANINHA EMBALADO KG,12.256,3.87,23.29,23.29,23.29,50.96,103.92,47.49,Pumpkin goianinha packed kg
030460,ABOBORA MORANGA AGRANEL KG,29.32,3.33,55.98,55.98,55.98,42.63,74.3,97.58,Pumpkin moranga agranel kg
063616,ABOBORA MORANGA EMBALADO KG,20.989,3.94,41.05,41.05,41.05,50.33,101.32,82.64,Pumpkin paddled padded kg
024579,ABOBRINHA AGRANEL KG,600.987,2.96,1161.84,1161.84,1161.84,34.64,52.99,1777.49,Zucchini agranel kg
083147,ABOBRINHA AGRANEL PROMOCAO KG,7.859,1.49,19.72,19.72,19.72,-68.39,-40.61,11.71,Zucchini Agranel Promocao Kg
072698,ABOBRINHA BANDEIJA KG,39.656,3.35,72.31,72.31,72.31,45.54,83.62,132.77,Kg
081332,ACAIZINHO ACAI FOOD C/ BANANA E GUARANA,49.0,2.99,60.03,81.68,81.68,44.25,79.36,146.51,Acaizinho Acai Food w/ banana and guarana
081330,ACAIZINHO ACAI FOOD TRAD BANAN/GUAR PA,2.0,34.99,29.4,40.01,40.01,42.83,74.92,69.98,Acaizinho Acai Food Trad Banan/Guar Pa
081333,ACAIZINHO ACAI FOOD ZERO ACUCAR 70ML,10.0,3.49,14.7,20.0,20.0,42.69,74.5,34.9,Acaizo Acai Food Zero Cudar 70ml
082575,ACTIVIA LIQ LF AMEIXA 800G,7.0,21.49,83.6,93.94,93.94,37.55,60.13,150.43,Activia Liq LF Plum 800g
082576,ACTIVIA LIQ LF AVEIA 800G,1.0,21.49,11.94,13.42,13.42,37.55,60.13,21.49,Activia Liq LF Oats 800g
082578,ACTIVIA LIQ LF MORANGO 800G,3.0,21.66,35.83,40.26,40.26,38.03,61.38,64.97,Activia Liq LF Strawberry 800g
082579,ACTIVIA LIQ LF VITAMINA FRUTAS 800G,2.0,20.24,23.89,26.84,26.84,33.7,50.82,40.48,Activia liq lf vitamin fruits 800g
082573,ACTIVIA LIQ LF ZERO AMEIXA 800G,1.0,23.99,13.31,14.95,14.95,37.68,60.47,23.99,Activia liq lf zero plum 800g
082574,ACTIVIA LIQ LF ZERO MORANGO 800G,4.0,24.49,52.62,59.8,59.8,38.95,63.81,97.96,Activia liq lf zero strawberry 800g
051616,AGUA DE COCO MAIS COCO 1L,61.0,12.75,411.2,548.39,548.39,29.48,41.8,777.59,Coconut Water More Coco 1l
058537,AGUA DE COCO MAIS COCO 200ML,16.0,4.59,35.15,43.14,43.14,41.26,70.25,73.44,200ml coconut water water
080603,AGUA DE COCO REFRESH 180ML,6.0,2.29,5.69,7.74,7.74,43.67,77.52,13.74,Coconut Water Refresh 180ml
017398,AGUA DE COCO SOCOCO 200ML,5.0,4.99,11.73,15.95,15.95,36.07,56.43,24.95,Coco Agua Sococo 200ml
078243,AGUA DE COCO VITCOCO 1LT,25.0,11.99,149.18,202.94,202.94,32.3,47.7,299.75,Vitcoco Coconut Water 1LT
013874,AGUA MIN ACQUA LIA S/GAS GL 5L UN,35.0,9.99,252.13,252.13,252.13,27.89,38.68,349.65,Water min acqua lia s/gas gl 5l un
072684,AGUA MIN C/GAS PETROPOLITANA 510ML,196.0,2.83,353.98,353.98,353.98,36.29,56.97,555.64,Min c/gas petropolitan 510ml
008288,AGUA MIN CRISTAL C/GAS 500ML,1066.0,2.07,1535.04,1535.04,1535.04,30.3,43.47,2202.34,Min crystal water with gas 500ml
008286,AGUA MIN CRISTAL S/GAS 500ML,352.0,1.94,418.88,418.88,418.88,38.55,62.73,681.65,Water min crystal s/gas 500ml
008290,"AGUA MIN CRYSTAL C/GAS 1,5LT",246.0,3.1,541.2,541.2,541.2,29.12,41.08,763.54,Crystal Min Crystal Water 1.5LT
008289,"AGUA MIN CRYSTAL S/GAS 1,5LT",198.0,2.91,386.3,386.3,386.3,33.03,49.32,576.82,Water min Crystal S/Gas 1.5LT
071531,AGUA MIN LEBRINHA PREMIUM C/GAS 350ML,10.0,2.49,15.5,15.5,15.5,37.75,60.65,24.9,Water lebrinha premium w/gas 350ml
072640,AGUA MIN LEBRINHA PREMIUM C/GAS 500ML,11.0,2.39,15.84,15.84,15.84,39.75,65.97,26.29,Water lebrinha premium w/gas 500ml
071532,AGUA MIN LEBRINHA PREMIUM S/GAS 350ML,8.0,1.84,10.24,10.24,10.24,30.43,43.75,14.72,Water lebrinha premium s/gas 350ml
072685,AGUA MIN S/GAS PETROPOLITANA 510ML,11.0,1.99,15.52,15.52,15.52,29.1,41.03,21.89,Water Min S/Gas Petropolitana 510ml
068517,AGUA MINERAL CRYSTAL S/GAS 6LT,5.0,9.99,38.61,38.61,38.61,22.7,29.37,49.95,Crystal Mineral Water S/Gas 6LT
069268,"AGUA MINERAL GOYA 1,5LT",50.0,3.16,114.46,114.46,114.46,27.54,38.01,157.96,GOYA MINERAL WATER 1.5LT
077467,AGUA MINERAL GOYA C/GAS 500ML,17.0,2.06,26.21,26.21,26.21,25.17,33.63,35.03,GOYA MINERAL WATER WITH GAS 500ML
081255,"AGUA MINERAL LEBRINHA S/ GAS 1,5LT",15.0,3.81,36.75,36.75,36.75,35.7,55.51,57.15,MINERAL WATER LEBRINHA S/ GAS 1.5LT
032078,AGUA MINERAL NATIVA ENTREGA REGIAO 20LT,116.0,18.58,1474.4,1474.4,1474.4,31.58,46.15,2154.82,Native mineral water delivery 20LT region
065898,AGUA MINERAL NATIVA LONGA DISTANCIA 20L,7.0,19.21,89.6,89.6,89.6,33.38,50.11,134.5,Long mineral water distance 20L distance
032070,AGUA MINERAL NATIVA PORTARIA 20LT,132.0,18.06,1676.8,1676.8,1676.8,29.66,42.18,2384.0,Native Mineral Water Ordinance
069164,AGUA P/PASSAR ROUP BABY TROPICAL AROMA,2.0,12.89,15.08,17.14,17.14,33.51,50.41,25.78,Water to pass Roup Baby Tropical Aroma
007879,AGUA SANITARIA PROEZA 1L,181.0,2.99,269.87,305.35,305.35,43.58,77.24,541.19,SHEET WATER PROEISH 1L
018814,AGUA SANITARIA PROEZA 2L,658.0,4.75,1689.74,1941.1,1941.1,37.86,60.92,3123.58,WATER SHEET PROEISH 2L
061373,AGUA SANITARIA PROEZA 5LT,117.0,12.99,801.68,906.75,906.75,40.34,67.61,1519.83,5LT SHEETING WATER
004400,AGUA SANITARIA QBOA 1LT,220.0,4.99,573.74,659.07,659.07,39.96,66.57,1097.8,Water Sanitria Qboa 1LT
004401,AGUA SANITARIA QBOA 2LT,208.0,9.14,1036.51,1172.38,1172.38,38.31,62.09,1900.34,Water Sanitia Qboa 2LT
031379,AGUA SANITARIA QBOA 5LT,73.0,19.99,820.98,928.6,928.6,36.36,57.12,1459.06,Water Sanitia Qboa 5LT
